product_id,user_id,user_name,review_id,review_title,review_content
B07JW9H4J1,AG3D6O4STAQKAY2UVGEUV46KN35Q,Manav,R3HXWT0LRP0NMF,Satisfied,Looks durable Charging is fine tooNo complains
B07JW9H4J1,AHMY5CWJMMK5BJRBBSNLYT3ONILA,Adarsh gupta,R2AJM3LFTLZHFO,Charging is really fast,Charging is really fast
B07JW9H4J1,AHCTC6ULH4XB6YHDY6PCH2R772LQ,Sundeep,R6AQJGUP6P86,Value for money,good product.
B07JW9H4J1,AGYHHIERNXKA6P5T7CZLXKVPT7IQ,S.Sayeed Ahmed,R1KD19VHEDV0OR,Product review,Till now satisfied with the quality.
B07JW9H4J1,AG4OGOFWXJZTQ2HKYIOCOY3KXF2Q,jaspreet singh,R3C02RMYQMK6FC,Good quality,This is a good product . The charging speed is slower than the original iPhone cable
B07JW9H4J1,AENGU523SXMOS7JPDTW52PNNVWGQ,Khaja moin,R39GQRVBUZBWGY,Good product,Good quality
B07JW9H4J1,AEQJHCVTNINBS4FKTBGQRQTGTE5Q,Anand,R2K9EDOE15QIRJ,Good Product,would recommend
B07JW9H4J1,AFC3FFC5PKFF5PMA52S3VCHOZ5FQ,S.ARUMUGAM,R3OI7YT648TL8I,As of now seems good,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81---F1ZgHL._SY88.jpg
B098NS6PVG,AECPFYFQVRUWC3KGNLJIOREFP5LQ,Manav,R3HXWT0LRP0NMF,Satisfied,Product had worked well till date and was having no issue.Cable is also sturdy enough...Have asked for replacement and company is doing the same...
B098NS6PVG,AGYYVPDD7YG7FYNBXNGXZJT525AQ,Adarsh gupta,R2AJM3LFTLZHFO,Charging is really fast,Value for money
B098NS6PVG,AHONIZU3ICIEHQIGQ6R2VFRSBXOQ,Sundeep,R6AQJGUP6P86,Value for money,Looks durable Charging is fine tooNo complains
B098NS6PVG,AFPHD2CRPDZMWMBL7WXRSVYWS5JA,S.Sayeed Ahmed,R1KD19VHEDV0OR,Product review,Charging is really fast
B098NS6PVG,AEZ346GX3HJ4O4XNRPHCNHXQURMQ,jaspreet singh,R3C02RMYQMK6FC,Good quality,good product.
B098NS6PVG,AEPSWFPNECKO34PUC7I56ITGXR6Q,Khaja moin,R39GQRVBUZBWGY,Good product,Till now satisfied with the quality.
B098NS6PVG,AHWVEHR5DYLVFTO2KF3IZATFQSWQ,Anand,R2K9EDOE15QIRJ,Good Product,This is a good product . The charging speed is slower than the original iPhone cable
B098NS6PVG,AH4QT33M55677I7ISQOAKEQWACYQ,S.ARUMUGAM,R3OI7YT648TL8I,As of now seems good,Good quality
B096MSW6CT,AGU3BBQ2V2DDAMOAKGFAWDDQ6QHA,Manav,R3HXWT0LRP0NMF,Satisfied,would recommend
B096MSW6CT,AESFLDV2PT363T2AQLWQOWZ4N3OA,Adarsh gupta,R2AJM3LFTLZHFO,Charging is really fast,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81---F1ZgHL._SY88.jpg
B096MSW6CT,AHTPQRIMGUD4BYR5YIHBH3CCGEFQ,Sundeep,R6AQJGUP6P86,Value for money,Product had worked well till date and was having no issue.Cable is also sturdy enough...Have asked for replacement and company is doing the same...
B096MSW6CT,AEUVWXYP5LT7PZLLZENEO2NODPBQ,S.Sayeed Ahmed,R1KD19VHEDV0OR,Product review,Value for money
B096MSW6CT,AHC7MPW55DOO6WNCOQVA2VHOD26A,jaspreet singh,R3C02RMYQMK6FC,Good quality,Looks durable Charging is fine tooNo complains
B096MSW6CT,AFDI6FRPFBTNBG7BAEB7JDJSMKDQ,Khaja moin,R39GQRVBUZBWGY,Good product,Charging is really fast
B096MSW6CT,AFQKCEEEKXCOHTDG4WUN3XPPHJQQ,Anand,R2K9EDOE15QIRJ,Good Product,good product.
B096MSW6CT,AHKUUFNMBZIDLSSPA4FEHIO2EC7Q,S.ARUMUGAM,R3OI7YT648TL8I,As of now seems good,Till now satisfied with the quality.
B08HDJ86NZ,AEWAZDZZJLQUYVOVGBEUKSLXHQ5A,Manav,R3HXWT0LRP0NMF,Satisfied,This is a good product . The charging speed is slower than the original iPhone cable
B08HDJ86NZ,AG5HTSFRRE6NL3M5SGCUQBP7YSCA,Adarsh gupta,R2AJM3LFTLZHFO,Charging is really fast,Good quality
B08HDJ86NZ,AH725ST5NW2Y4JZPKUNTIJCUK2BA,Sundeep,R6AQJGUP6P86,Value for money,would recommend
B08HDJ86NZ,AHV3TXIFCJPMS4D5JATCEUR266MQ,S.Sayeed Ahmed,R1KD19VHEDV0OR,Product review,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81---F1ZgHL._SY88.jpg
B08HDJ86NZ,AGWIGDEMFIIUAOXYY2QATNBSUGHA,jaspreet singh,R3C02RMYQMK6FC,Good quality,Product had worked well till date and was having no issue.Cable is also sturdy enough...Have asked for replacement and company is doing the same...
B08HDJ86NZ,AFSTSLQUV4EVEXWKBOLEFHL2H5YQ,Khaja moin,R39GQRVBUZBWGY,Good product,Value for money
B08HDJ86NZ,AGAKDNBHY2FKX7I4ACRGILU7QL7A,Anand,R2K9EDOE15QIRJ,Good Product,Looks durable Charging is fine tooNo complains
B08HDJ86NZ,AFNWJUWJRHCC6HN52KMG5AKZY37Q,S.ARUMUGAM,R3OI7YT648TL8I,As of now seems good,Charging is really fast
B08CF3B7N1,AE3Q6KSUK5P75D5HFYHCRAOLODSA,Manav,R3HXWT0LRP0NMF,Satisfied,good product.
B08CF3B7N1,AFUGIFH5ZAFXRDSZHM4QB2KPKFUQ,Adarsh gupta,R2AJM3LFTLZHFO,Charging is really fast,Till now satisfied with the quality.
B08CF3B7N1,AFK4NJOLFSJGWLOJIUIAROJF6YVA,Sundeep,R6AQJGUP6P86,Value for money,This is a good product . The charging speed is slower than the original iPhone cable
B08CF3B7N1,AFUOTYRFUXVPEBGIXVZZ7DR3CZUA,S.Sayeed Ahmed,R1KD19VHEDV0OR,Product review,Good quality
B08CF3B7N1,AFDLRSXKDZ6U3U3KD46SQLFGZQRA,jaspreet singh,R3C02RMYQMK6FC,Good quality,would recommend
B08CF3B7N1,AH5VLM66SIK7J3IRG4NY7XVOQ55A,Khaja moin,R39GQRVBUZBWGY,Good product,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81---F1ZgHL._SY88.jpg
B08CF3B7N1,AE3MQNNHHLUHXURL5S7IAR7JTGNQ,Anand,R2K9EDOE15QIRJ,Good Product,Product had worked well till date and was having no issue.Cable is also sturdy enough...Have asked for replacement and company is doing the same...
B08CF3B7N1,AFSEOFZY67MYC7UAJU264Z5NFTLA,S.ARUMUGAM,R3OI7YT648TL8I,As of now seems good,Value for money
B08Y1TFSP6,AEQ2YMXSZWEOHK2EHTNLOS56YTZQ,Manav,R3HXWT0LRP0NMF,Satisfied,Looks durable Charging is fine tooNo complains
B08Y1TFSP6,AGRVINWECNY7323CWFXZYYIZOFTQ,Adarsh gupta,R2AJM3LFTLZHFO,Charging is really fast,Charging is really fast
B08Y1TFSP6,AHBAT6VLOXWGYDL57KHCNCLPXAKA,Sundeep,R6AQJGUP6P86,Value for money,good product.
B08Y1TFSP6,AF7NDY2H6JVYTSQOZP76GCATQ34Q,S.Sayeed Ahmed,R1KD19VHEDV0OR,Product review,Till now satisfied with the quality.
B08Y1TFSP6,AFV7ZA733ZLME4KNLZPMPCBUNPPA,jaspreet singh,R3C02RMYQMK6FC,Good quality,This is a good product . The charging speed is slower than the original iPhone cable
